Genexpert.site,ddd
Kibilizi DH,"Hospital (DH,PH,RH)"
Kora CS,Health Center
Remera CS,Health Center
Rwamagana PH,"Hospital (DH,PH,RH)"
Kicukiro CS,Health Center
Kibuye RH,"Hospital (DH,PH,RH)"
Kirinda DH,"Hospital (DH,PH,RH)"
Shyira DH,"Hospital (DH,PH,RH)"
Muhima DH,"Hospital (DH,PH,RH)"
Kinigi CS,Health Center
Mugonero DH,"Hospital (DH,PH,RH)"
Rutongo DH,"Hospital (DH,PH,RH)"
Nyagatare DH,"Hospital (DH,PH,RH)"
Bugarama (rusizi) CS,Health Center
Kiziguro DH,"Hospital (DH,PH,RH)"
Byahi (rubavu) CS,Health Center
Rukara CS,Health Center
Butaro DH,"Hospital (DH,PH,RH)"
Kaduha DH,"Hospital (DH,PH,RH)"
Masaka DH,"Hospital (DH,PH,RH)"
Gatonde DH,"Hospital (DH,PH,RH)"
Byumba DH,"Hospital (DH,PH,RH)"
Bushenge PH,"Hospital (DH,PH,RH)"
Nemba DH,"Hospital (DH,PH,RH)"
Ruhengeri RH,"Hospital (DH,PH,RH)"
Kabutare DH,"Hospital (DH,PH,RH)"
Biryogo CS,Health Center
Butare Chu Hnr (huye),Health Center
Kinihira PH,"Hospital (DH,PH,RH)"
Gihundwe PH,"Hospital (DH,PH,RH)"
Gitwe DH,"Hospital (DH,PH,RH)"
Ngarama DH,"Hospital (DH,PH,RH)"
Ruli DH,"Hospital (DH,PH,RH)"
Murunda DH,"Hospital (DH,PH,RH)"
Munini DH,"Hospital (DH,PH,RH)"
Kigeme DH,"Hospital (DH,PH,RH)"
Nyanza DH,"Hospital (DH,PH,RH)"
Rwinkwavu DH,"Hospital (DH,PH,RH)"
Kamonyi (gacurabwenge) CS,Health Center
Kibogora DH,"Hospital (DH,PH,RH)"
Gatunda DH,"Hospital (DH,PH,RH)"
Gisenyi DH,"Hospital (DH,PH,RH)"
Kirehe DH,"Hospital (DH,PH,RH)"
Musha (rwamagana) CS,Health Center
Gahini DH,"Hospital (DH,PH,RH)"
Gakoma DH,"Hospital (DH,PH,RH)"
Nyamata DH,"Hospital (DH,PH,RH)"
Kibungo RH,"Hospital (DH,PH,RH)"
Kabuye CS,Health Center
Kabgayi DH,"Hospital (DH,PH,RH)"
Nyarugenge DH,"Hospital (DH,PH,RH)"
Kaduha DH,"Hospital (DH,PH,RH)"
Mibilizi DH,"Hospital (DH,PH,RH)"
Remera Rukoma DH,"Hospital (DH,PH,RH)"
Kibagabaga DH,"Hospital (DH,PH,RH)"
Cor-unum CS,Health Center
Ruhango PH,"Hospital (DH,PH,RH)"
Nyamirama CS,Health Center
Rugarama Cs,Health Center
Rukoma Sake CS,Health Center
Kanombe RH,"Hospital (DH,PH,RH)"
